Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2007,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2007,
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",18.96095225,18.96095225,1/1/2007,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2007,18.96095225
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",10.34684652,10.34684652,1/1/2007,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2007,10.34684652
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",158.2421081,158.2421081,1/1/2007,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2007,158.2421081
General Taxpayer Subsidies,New York City Transit,Staten Island Railway,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.500133085,0.500133085,1/1/2007,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2007,0.500133085
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,Includes farebox revenue and unused fare media.,476.6,476.6,1/1/2007,Fare Revenue,Farebox Revenue,Fare Revenue,2007,476.6
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",34.5,34.5,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,34.5
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",314.9692352,314.9692352,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2007,314.9692352
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",171.876301,171.876301,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2007,171.876301
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",976.668721,976.668721,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2007,976.668721
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.882601812,0.882601812,1/1/2007,Dedicated Taxes and Subsidies,Investment Income,Dedicated Taxes and Subsidies,2007,0.882601812
General Taxpayer Subsidies,New York City Transit,Staten Island Railway,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",2.97764854,2.97764854,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2007,2.97764854
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",12.7947069,12.7947069,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2007,12.7947069
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",6.981973627,6.981973627,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2007,6.981973627
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",39.67431934,39.67431934,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2007,39.67431934
Motor Vehicle Cross-subsidies,New York City Transit,Staten Island Railway,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.018899733,0.018899733,1/1/2007,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2007,0.018899733
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",31.8476118,31.8476118,1/1/2007,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2007,31.8476118
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",17.37899801,17.37899801,1/1/2007,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2007,17.37899801
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",349.0695665,349.0695665,1/1/2007,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2007,349.0695665
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",84.19633262,84.19633262,1/1/2007,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2007,84.19633262
General Taxpayer Subsidies,New York City Transit,Staten Island Railway,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.268997868,0.268997868,1/1/2007,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2007,0.268997868
Fares and Other Operating Revenue,HQ,MTA Headquarters,,Includes farebox revenue and unused fare media.,0,0,1/1/2007,Fare Revenue,Farebox Revenue,Fare Revenue,2007,0
Fares and Other Operating Revenue,HQ,MTA Headquarters,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",50.504,50.504,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,50.504
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2007,
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2007,
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",19.455,19.455,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,19.455
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,2030,2030,1/1/2007,Fare Revenue,Subway,Fare Revenue,2007,2030
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,772.3,772.3,1/1/2007,Fare Revenue,Bus,Fare Revenue,2007,772.3
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,9.5,9.5,1/1/2007,Fare Revenue,Paratransit,Fare Revenue,2007,9.5
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,43.6,43.6,1/1/2007,Fare Revenue,Fare Media Liability,Fare Revenue,2007,43.6
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",103.8,103.8,1/1/2007,Other Operating Revenue,Fare Reimbursement,Other Operating Revenue,2007,103.8
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",102.3,102.3,1/1/2007,Other Operating Revenue,Paratransit Reimbursement,Other Operating Revenue,2007,102.3
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",97.9,97.9,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,97.9
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2007,
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2007,Dedicated Taxes and Subsidies,Nassau County Subsidy,Dedicated Taxes and Subsidies,2007,0
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2007,Dedicated Taxes and Subsidies,Nassau County Subsidy,Dedicated Taxes and Subsidies,2007,0
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,NYC Operating Support for SAP,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,NYS Operating Support for SAP,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2007,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2007,0
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2007,
Fares and Other Operating Revenue,MTA Bus,MTA Bus Company,,Includes farebox revenue and unused fare media.,139.823,139.823,1/1/2007,Fare Revenue,Farebox Revenue,Fare Revenue,2007,139.823
Fares and Other Operating Revenue,MTA Bus,MTA Bus Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",21.867,21.867,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,21.867
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2007,
Fares and Other Operating Revenue,New York City Transit,Staten Island Railway,,Includes farebox revenue and unused fare media.,3.938,3.938,1/1/2007,Fare Revenue,Farebox Revenue,Fare Revenue,2007,3.938
Fares and Other Operating Revenue,New York City Transit,Staten Island Railway,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",2.05,2.05,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,2.05
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",57.05691697,57.05691697,1/1/2007,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2007,57.05691697
