Business Line (group),Business Line,Date Prefix,Adjustments Outcome,No-Adjustments Value,Date,Date (group),Description1,Revenue and Expense Type,Year,Value
HQ,MTA Headquarters,,46.174,46.174,1/1/2007, ,Professional Service Contracts,Non-labor Expense,2007,46.174
HQ,MTA Headquarters,,2.862,2.862,1/1/2007, ,Materials and Supplies,Non-labor Expense,2007,2.862
HQ,MTA Headquarters,,81.644,81.644,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,81.644
HQ,First Mutual Transportation Assurance Company,,-48.043,-48.043,1/1/2007, ,Insurance,Non-labor Expense,2007,-48.043
HQ,First Mutual Transportation Assurance Company,,48.548,48.548,1/1/2007, ,Claims,Non-labor Expense,2007,48.548
HQ,First Mutual Transportation Assurance Company,,8.383,8.383,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,8.383
New York City Transit,New York City Transit,,2628.7,2628.7,1/1/2007, ,Payroll,Labor Expense,2007,2628.7
New York City Transit,New York City Transit,,265.6,265.6,1/1/2007, ,Overtime,Labor Expense,2007,265.6
New York City Transit,New York City Transit,,404.3,404.3,1/1/2007, ,Health and Welfare,Labor Expense,2007,404.3
New York City Transit,New York City Transit,,204.6,204.6,1/1/2007, ,OPEB Current Payment,Labor Expense,2007,204.6
New York City Transit,New York City Transit,,595.7,595.7,1/1/2007, ,Pensions,Labor Expense,2007,595.7
New York City Transit,New York City Transit,,241.5,241.5,1/1/2007, ,Other Fringe Benefits,Labor Expense,2007,241.5
New York City Transit,New York City Transit,,-168.6,-168.6,1/1/2007, ,Reimbursable Overhead,Labor Expense,2007,-168.6
New York City Transit,New York City Transit,,160.6,160.6,1/1/2007, ,Electric Power,Non-labor Expense,2007,160.6
New York City Transit,New York City Transit,,124.4,124.4,1/1/2007, ,Fuel,Non-labor Expense,2007,124.4
New York City Transit,New York City Transit,,37.3,37.3,1/1/2007, ,Insurance,Non-labor Expense,2007,37.3
New York City Transit,New York City Transit,,71.4,71.4,1/1/2007, ,Claims,Non-labor Expense,2007,71.4
New York City Transit,New York City Transit,,233.2,233.2,1/1/2007, ,Paratransit Service Contracts,Non-labor Expense,2007,233.2
New York City Transit,New York City Transit,,186.3,186.3,1/1/2007, ,Maintenance and Other Operating Contracts,Non-labor Expense,2007,186.3
New York City Transit,New York City Transit,,80.5,80.5,1/1/2007, ,Professional Service Contracts,Non-labor Expense,2007,80.5
New York City Transit,New York City Transit,,291.5,291.5,1/1/2007, ,Materials and Supplies,Non-labor Expense,2007,291.5
New York City Transit,New York City Transit,,40.7,40.7,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,40.7
MTA Bus,MTA Bus Company,,185.662,185.662,1/1/2007, ,Payroll,Labor Expense,2007,185.662
MTA Bus,MTA Bus Company,,37.997,37.997,1/1/2007, ,Overtime,Labor Expense,2007,37.997
MTA Bus,MTA Bus Company,,29.659,29.659,1/1/2007, ,Health and Welfare,Labor Expense,2007,29.659
MTA Bus,MTA Bus Company,,10.725,10.725,1/1/2007, ,OPEB Current Payment,Labor Expense,2007,10.725
MTA Bus,MTA Bus Company,,13.531,13.531,1/1/2007, ,Pensions,Labor Expense,2007,13.531
MTA Bus,MTA Bus Company,,20.096,20.096,1/1/2007, ,Other Fringe Benefits,Labor Expense,2007,20.096
MTA Bus,MTA Bus Company,,0,0,1/1/2007, ,Reimbursable Overhead,Labor Expense,2007,0
MTA Bus,MTA Bus Company,,0,0,1/1/2007, ,Electric Power,Non-labor Expense,2007,0
MTA Bus,MTA Bus Company,,25.429,25.429,1/1/2007, ,Fuel,Non-labor Expense,2007,25.429
MTA Bus,MTA Bus Company,,14.371,14.371,1/1/2007, ,Insurance,Non-labor Expense,2007,14.371
MTA Bus,MTA Bus Company,,14.804,14.804,1/1/2007, ,Claims,Non-labor Expense,2007,14.804
MTA Bus,MTA Bus Company,,0,0,1/1/2007, ,Paratransit Service Contracts,Non-labor Expense,2007,0
MTA Bus,MTA Bus Company,,31.813,31.813,1/1/2007, ,Maintenance and Other Operating Contracts,Non-labor Expense,2007,31.813
MTA Bus,MTA Bus Company,,3.656,3.656,1/1/2007, ,Professional Service Contracts,Non-labor Expense,2007,3.656
MTA Bus,MTA Bus Company,,27.27,27.27,1/1/2007, ,Materials and Supplies,Non-labor Expense,2007,27.27
MTA Bus,MTA Bus Company,,2.509,2.509,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,2.509
New York City Transit,Staten Island Railway,,14.81,14.81,1/1/2007, ,Payroll,Labor Expense,2007,14.81
New York City Transit,Staten Island Railway,,1.061,1.061,1/1/2007, ,Overtime,Labor Expense,2007,1.061
New York City Transit,Staten Island Railway,,3.099,3.099,1/1/2007, ,Health and Welfare,Labor Expense,2007,3.099
New York City Transit,Staten Island Railway,,0,0,1/1/2007, ,OPEB Current Payment,Labor Expense,2007,0
New York City Transit,Staten Island Railway,,3.604,3.604,1/1/2007, ,Pensions,Labor Expense,2007,3.604
New York City Transit,Staten Island Railway,,1.302,1.302,1/1/2007, ,Other Fringe Benefits,Labor Expense,2007,1.302
New York City Transit,Staten Island Railway,,0,0,1/1/2007, ,Reimbursable Overhead,Labor Expense,2007,0
New York City Transit,Staten Island Railway,,2.211,2.211,1/1/2007, ,Electric Power,Non-labor Expense,2007,2.211
New York City Transit,Staten Island Railway,,0,0,1/1/2007, ,Fuel,Non-labor Expense,2007,0
New York City Transit,Staten Island Railway,,0.307,0.307,1/1/2007, ,Insurance,Non-labor Expense,2007,0.307
New York City Transit,Staten Island Railway,,1.104,1.104,1/1/2007, ,Claims,Non-labor Expense,2007,1.104
New York City Transit,Staten Island Railway,,0,0,1/1/2007, ,Paratransit Service Contracts,Non-labor Expense,2007,0
New York City Transit,Staten Island Railway,,1.79,1.79,1/1/2007, ,Maintenance and Other Operating Contracts,Non-labor Expense,2007,1.79
New York City Transit,Staten Island Railway,,0.331,0.331,1/1/2007, ,Professional Service Contracts,Non-labor Expense,2007,0.331
New York City Transit,Staten Island Railway,,0.981,0.981,1/1/2007, ,Materials and Supplies,Non-labor Expense,2007,0.981
New York City Transit,Staten Island Railway,,0.001,0.001,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,0.001
MTA Bus,MTA Bus Company,,8.809,8.809,1/1/2007, ,Total MTA Bus Debt Service,Debt Service,2007,8.809
LIRR,Long Island Rail Road,,285.4070961,285.4070961,1/1/2007, ,Total CRR Debt Service,Debt Service,2007,285.4070961
Metro-North,Metro-North Railroad,,185.8259039,185.8259039,1/1/2007, ,Total CRR Debt Service,Debt Service,2007,185.8259039
New York City Transit,New York City Transit,,787.857,787.857,1/1/2007, ,Total NYCT Debt Service,Debt Service,2007,787.857
New York City Transit,Staten Island Railway,,0,0,1/1/2007, ,Total SIRTOA Debt Service,Debt Service,2007,0
HQ,MTA Headquarters,,2.898,2.898,1/1/2007, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2007,2.898
B&T,Bridges and Tunnels,,143.833,143.833,1/1/2007, ,Total B&T Debt Service,Debt Service,2007,143.833
Other,Unassigned,,0,0,1/1/2007, ,Pensions Offset,Labor Expense,2007,0
Other,General Reserve,,0,0,1/1/2007, ,General Reserve,Other Expense Adjustments,2007,0
Other,Unassigned,,-17.5,-17.5,1/1/2007, ,Other Expense Adjustments,Other Expense Adjustments,2007,-17.5
Other,Unassigned,,0,0,1/1/2007, ,BAB Subsidy,Debt Service,2007,0
B&T,Bridges and Tunnels,,121.26,121.26,1/1/2008, ,Payroll,Labor Expense,2008,121.26
B&T,Bridges and Tunnels,,25.946,25.946,1/1/2008, ,Overtime,Labor Expense,2008,25.946
B&T,Bridges and Tunnels,,18.665,18.665,1/1/2008, ,Health and Welfare,Labor Expense,2008,18.665
B&T,Bridges and Tunnels,,11.378,11.378,1/1/2008, ,OPEB Current Payment,Labor Expense,2008,11.378
B&T,Bridges and Tunnels,,20.028,20.028,1/1/2008, ,Pensions,Labor Expense,2008,20.028
B&T,Bridges and Tunnels,,16.858,16.858,1/1/2008, ,Other Fringe Benefits,Labor Expense,2008,16.858
B&T,Bridges and Tunnels,,-6.83,-6.83,1/1/2008, ,Reimbursable Overhead,Labor Expense,2008,-6.83
B&T,Bridges and Tunnels,,0,0,1/1/2008, ,Electric Power,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,0,0,1/1/2008, ,Fuel,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,8.284,8.284,1/1/2008, ,Insurance,Non-labor Expense,2008,8.284
B&T,Bridges and Tunnels,,0,0,1/1/2008, ,Claims,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,0,0,1/1/2008, ,Paratransit Service Contracts,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,161.354,161.354,1/1/2008, ,Maintenance and Other Operating Contracts,Non-labor Expense,2008,161.354
B&T,Bridges and Tunnels,,14.207,14.207,1/1/2008, ,Professional Service Contracts,Non-labor Expense,2008,14.207
B&T,Bridges and Tunnels,,15.819,15.819,1/1/2008, ,Materials and Supplies,Non-labor Expense,2008,15.819
B&T,Bridges and Tunnels,,1.021,1.021,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,1.021
LIRR,Long Island Rail Road,,413.8,413.8,1/1/2008, ,Payroll,Labor Expense,2008,413.8
LIRR,Long Island Rail Road,,89.8,89.8,1/1/2008, ,Overtime,Labor Expense,2008,89.8
LIRR,Long Island Rail Road,,73.1,73.1,1/1/2008, ,Health and Welfare,Labor Expense,2008,73.1
LIRR,Long Island Rail Road,,47.1,47.1,1/1/2008, ,OPEB Current Payment,Labor Expense,2008,47.1
LIRR,Long Island Rail Road,,111.1,111.1,1/1/2008, ,Pensions,Labor Expense,2008,111.1
LIRR,Long Island Rail Road,,90.4,90.4,1/1/2008, ,Other Fringe Benefits,Labor Expense,2008,90.4
LIRR,Long Island Rail Road,,-31.9,-31.9,1/1/2008, ,Reimbursable Overhead,Labor Expense,2008,-31.9
LIRR,Long Island Rail Road,,75,75,1/1/2008, ,Electric Power,Non-labor Expense,2008,75
LIRR,Long Island Rail Road,,23.1,23.1,1/1/2008, ,Fuel,Non-labor Expense,2008,23.1
LIRR,Long Island Rail Road,,15.8,15.8,1/1/2008, ,Insurance,Non-labor Expense,2008,15.8
LIRR,Long Island Rail Road,,11.6,11.6,1/1/2008, ,Claims,Non-labor Expense,2008,11.6
LIRR,Long Island Rail Road,,63.2,63.2,1/1/2008, ,Maintenance and Other Operating Contracts,Non-labor Expense,2008,63.2
LIRR,Long Island Rail Road,,21.4,21.4,1/1/2008, ,Professional Service Contracts,Non-labor Expense,2008,21.4
LIRR,Long Island Rail Road,,101.5,101.5,1/1/2008, ,Materials and Supplies,Non-labor Expense,2008,101.5
LIRR,Long Island Rail Road,,6.5,6.5,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,6.5
Metro-North,Metro-North Railroad,,375.7,375.7,1/1/2008, ,Payroll,Labor Expense,2008,375.7
Metro-North,Metro-North Railroad,,56,56,1/1/2008, ,Overtime,Labor Expense,2008,56
Metro-North,Metro-North Railroad,,66.1,66.1,1/1/2008, ,Health and Welfare,Labor Expense,2008,66.1
Metro-North,Metro-North Railroad,,9.7,9.7,1/1/2008, ,OPEB Current Payment,Labor Expense,2008,9.7
Metro-North,Metro-North Railroad,,33.9,33.9,1/1/2008, ,Pensions,Labor Expense,2008,33.9
Metro-North,Metro-North Railroad,,75.6,75.6,1/1/2008, ,Other Fringe Benefits,Labor Expense,2008,75.6
Metro-North,Metro-North Railroad,,-47.1,-47.1,1/1/2008, ,Reimbursable Overhead,Labor Expense,2008,-47.1
Metro-North,Metro-North Railroad,,63.6,63.6,1/1/2008, ,Electric Power,Non-labor Expense,2008,63.6
Metro-North,Metro-North Railroad,,23.9,23.9,1/1/2008, ,Fuel,Non-labor Expense,2008,23.9
Metro-North,Metro-North Railroad,,12.1,12.1,1/1/2008, ,Insurance,Non-labor Expense,2008,12.1
Metro-North,Metro-North Railroad,,6.2,6.2,1/1/2008, ,Claims,Non-labor Expense,2008,6.2
Metro-North,Metro-North Railroad,,87.8,87.8,1/1/2008, ,Maintenance and Other Operating Contracts,Non-labor Expense,2008,87.8
Metro-North,Metro-North Railroad,,21.3,21.3,1/1/2008, ,Professional Service Contracts,Non-labor Expense,2008,21.3
Metro-North,Metro-North Railroad,,80.8,80.8,1/1/2008, ,Materials and Supplies,Non-labor Expense,2008,80.8
Metro-North,Metro-North Railroad,,14,14,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,14
HQ,MTA Headquarters,,130.11,130.11,1/1/2008, ,Payroll,Labor Expense,2008,130.11
HQ,MTA Headquarters,,14.978,14.978,1/1/2008, ,Overtime,Labor Expense,2008,14.978
HQ,MTA Headquarters,,15.956,15.956,1/1/2008, ,Health and Welfare,Labor Expense,2008,15.956
HQ,MTA Headquarters,,4.488,4.488,1/1/2008, ,OPEB Current Payment,Labor Expense,2008,4.488
HQ,MTA Headquarters,,16.583,16.583,1/1/2008, ,Pensions,Labor Expense,2008,16.583
HQ,MTA Headquarters,,10.468,10.468,1/1/2008, ,Other Fringe Benefits,Labor Expense,2008,10.468
HQ,MTA Headquarters,,-39.527,-39.527,1/1/2008, ,Reimbursable Overhead,Labor Expense,2008,-39.527
HQ,MTA Headquarters,,0,0,1/1/2008, ,Electric Power,Non-labor Expense,2008,0
HQ,MTA Headquarters,,0,0,1/1/2008, ,Fuel,Non-labor Expense,2008,0
HQ,MTA Headquarters,,-7.736,-7.736,1/1/2008, ,Insurance,Non-labor Expense,2008,-7.736
HQ,MTA Headquarters,,0,0,1/1/2008, ,Claims,Non-labor Expense,2008,0
HQ,MTA Headquarters,,0,0,1/1/2008, ,Paratransit Service Contracts,Non-labor Expense,2008,0
HQ,MTA Headquarters,,24.948,24.948,1/1/2008, ,Maintenance and Other Operating Contracts,Non-labor Expense,2008,24.948
HQ,MTA Headquarters,,40.023,40.023,1/1/2008, ,Professional Service Contracts,Non-labor Expense,2008,40.023
HQ,MTA Headquarters,,4.096,4.096,1/1/2008, ,Materials and Supplies,Non-labor Expense,2008,4.096
HQ,MTA Headquarters,,77.324,77.324,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,77.324
HQ,First Mutual Transportation Assurance Company,,-55.412,-55.412,1/1/2008, ,Insurance,Non-labor Expense,2008,-55.412
HQ,First Mutual Transportation Assurance Company,,46.919,46.919,1/1/2008, ,Claims,Non-labor Expense,2008,46.919
HQ,First Mutual Transportation Assurance Company,,10.204,10.204,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,10.204
New York City Transit,New York City Transit,,2761,2761,1/1/2008, ,Payroll,Labor Expense,2008,2761
New York City Transit,New York City Transit,,239.6,239.6,1/1/2008, ,Overtime,Labor Expense,2008,239.6
New York City Transit,New York City Transit,,455,455,1/1/2008, ,Health and Welfare,Labor Expense,2008,455
New York City Transit,New York City Transit,,234.5,234.5,1/1/2008, ,OPEB Current Payment,Labor Expense,2008,234.5
New York City Transit,New York City Transit,,685.8,685.8,1/1/2008, ,Pensions,Labor Expense,2008,685.8
New York City Transit,New York City Transit,,276.6,276.6,1/1/2008, ,Other Fringe Benefits,Labor Expense,2008,276.6
New York City Transit,New York City Transit,,-185.2,-185.2,1/1/2008, ,Reimbursable Overhead,Labor Expense,2008,-185.2
New York City Transit,New York City Transit,,165.5,165.5,1/1/2008, ,Electric Power,Non-labor Expense,2008,165.5
New York City Transit,New York City Transit,,183.4,183.4,1/1/2008, ,Fuel,Non-labor Expense,2008,183.4
New York City Transit,New York City Transit,,42.4,42.4,1/1/2008, ,Insurance,Non-labor Expense,2008,42.4
New York City Transit,New York City Transit,,63.4,63.4,1/1/2008, ,Claims,Non-labor Expense,2008,63.4
New York City Transit,New York City Transit,,299,299,1/1/2008, ,Paratransit Service Contracts,Non-labor Expense,2008,299
New York City Transit,New York City Transit,,222,222,1/1/2008, ,Maintenance and Other Operating Contracts,Non-labor Expense,2008,222
New York City Transit,New York City Transit,,94.8,94.8,1/1/2008, ,Professional Service Contracts,Non-labor Expense,2008,94.8
New York City Transit,New York City Transit,,302.8,302.8,1/1/2008, ,Materials and Supplies,Non-labor Expense,2008,302.8
New York City Transit,New York City Transit,,41.6,41.6,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,41.6
MTA Bus,MTA Bus Company,,207.86,207.86,1/1/2008, ,Payroll,Labor Expense,2008,207.86
MTA Bus,MTA Bus Company,,38.198,38.198,1/1/2008, ,Overtime,Labor Expense,2008,38.198
MTA Bus,MTA Bus Company,,41.043,41.043,1/1/2008, ,Health and Welfare,Labor Expense,2008,41.043
MTA Bus,MTA Bus Company,,10.915,10.915,1/1/2008, ,OPEB Current Payment,Labor Expense,2008,10.915
MTA Bus,MTA Bus Company,,22.2,22.2,1/1/2008, ,Pensions,Labor Expense,2008,22.2
MTA Bus,MTA Bus Company,,19.217,19.217,1/1/2008, ,Other Fringe Benefits,Labor Expense,2008,19.217
MTA Bus,MTA Bus Company,,0,0,1/1/2008, ,Reimbursable Overhead,Labor Expense,2008,0
MTA Bus,MTA Bus Company,,0,0,1/1/2008, ,Electric Power,Non-labor Expense,2008,0
MTA Bus,MTA Bus Company,,43.144,43.144,1/1/2008, ,Fuel,Non-labor Expense,2008,43.144
MTA Bus,MTA Bus Company,,12.72,12.72,1/1/2008, ,Insurance,Non-labor Expense,2008,12.72
MTA Bus,MTA Bus Company,,18.14,18.14,1/1/2008, ,Claims,Non-labor Expense,2008,18.14
MTA Bus,MTA Bus Company,,0,0,1/1/2008, ,Paratransit Service Contracts,Non-labor Expense,2008,0
MTA Bus,MTA Bus Company,,23.847,23.847,1/1/2008, ,Maintenance and Other Operating Contracts,Non-labor Expense,2008,23.847
MTA Bus,MTA Bus Company,,2.97,2.97,1/1/2008, ,Professional Service Contracts,Non-labor Expense,2008,2.97
MTA Bus,MTA Bus Company,,21.106,21.106,1/1/2008, ,Materials and Supplies,Non-labor Expense,2008,21.106
MTA Bus,MTA Bus Company,,6.368,6.368,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,6.368
New York City Transit,Staten Island Railway,,14.52,14.52,1/1/2008, ,Payroll,Labor Expense,2008,14.52
New York City Transit,Staten Island Railway,,0.958,0.958,1/1/2008, ,Overtime,Labor Expense,2008,0.958
New York City Transit,Staten Island Railway,,2.87,2.87,1/1/2008, ,Health and Welfare,Labor Expense,2008,2.87
New York City Transit,Staten Island Railway,,0.462,0.462,1/1/2008, ,OPEB Current Payment,Labor Expense,2008,0.462
New York City Transit,Staten Island Railway,,2.788,2.788,1/1/2008, ,Pensions,Labor Expense,2008,2.788
New York City Transit,Staten Island Railway,,1.374,1.374,1/1/2008, ,Other Fringe Benefits,Labor Expense,2008,1.374
New York City Transit,Staten Island Railway,,0,0,1/1/2008, ,Reimbursable Overhead,Labor Expense,2008,0
New York City Transit,Staten Island Railway,,2.409,2.409,1/1/2008, ,Electric Power,Non-labor Expense,2008,2.409
New York City Transit,Staten Island Railway,,0,0,1/1/2008, ,Fuel,Non-labor Expense,2008,0
New York City Transit,Staten Island Railway,,0.347,0.347,1/1/2008, ,Insurance,Non-labor Expense,2008,0.347
New York City Transit,Staten Island Railway,,1.04,1.04,1/1/2008, ,Claims,Non-labor Expense,2008,1.04
New York City Transit,Staten Island Railway,,0,0,1/1/2008, ,Paratransit Service Contracts,Non-labor Expense,2008,0
New York City Transit,Staten Island Railway,,2.395,2.395,1/1/2008, ,Maintenance and Other Operating Contracts,Non-labor Expense,2008,2.395
New York City Transit,Staten Island Railway,,0.401,0.401,1/1/2008, ,Professional Service Contracts,Non-labor Expense,2008,0.401
New York City Transit,Staten Island Railway,,1.026,1.026,1/1/2008, ,Materials and Supplies,Non-labor Expense,2008,1.026
New York City Transit,Staten Island Railway,,0,0,1/1/2008, ,Other Business Expenses,Non-labor Expense,2008,0
MTA Bus,MTA Bus Company,,10.605,10.605,1/1/2008, ,Total MTA Bus Debt Service,Debt Service,2008,10.605
LIRR,Long Island Rail Road,,239.3114111,239.3114111,1/1/2008, ,Total CRR Debt Service,Debt Service,2008,239.3114111
Metro-North,Metro-North Railroad,,155.7735889,155.7735889,1/1/2008, ,Total CRR Debt Service,Debt Service,2008,155.7735889
New York City Transit,New York City Transit,,942.458,942.458,1/1/2008, ,Total NYCT Debt Service,Debt Service,2008,942.458
New York City Transit,Staten Island Railway,,0,0,1/1/2008, ,Total SIRTOA Debt Service,Debt Service,2008,0
HQ,MTA Headquarters,,3.339,3.339,1/1/2008, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2008,3.339
B&T,Bridges and Tunnels,,164.246,164.246,1/1/2008, ,Total B&T Debt Service,Debt Service,2008,164.246
Other,Unassigned,,0,0,1/1/2008, ,Pensions Offset,Labor Expense,2008,0
Other,General Reserve,,0,0,1/1/2008, ,General Reserve,Other Expense Adjustments,2008,0
Other,Unassigned,,-14,-14,1/1/2008, ,Other Expense Adjustments,Other Expense Adjustments,2008,-14
Other,Unassigned,,0,0,1/1/2008, ,BAB Subsidy,Debt Service,2008,0
B&T,Bridges and Tunnels,,125.836,125.836,1/1/2009, ,Payroll,Labor Expense,2009,125.836
B&T,Bridges and Tunnels,,26.494,26.494,1/1/2009, ,Overtime,Labor Expense,2009,26.494
