Business Line (group),Business Line,Date Prefix,Expense Type Note,Adjustments Outcome,No-Adjustments Value,Date,Description1,Revenue and Expense Type,Year,Value
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",81.6,81.6,1/1/2007,Other Fringe Benefits,Labor Expense,2007,81.6
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-26.8,-26.8,1/1/2007,Reimbursable Overhead,Labor Expense,2007,-26.8
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",70.7,70.7,1/1/2007,Electric Power,Non-labor Expense,2007,70.7
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",16.3,16.3,1/1/2007,Fuel,Non-labor Expense,2007,16.3
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",17.3,17.3,1/1/2007,Insurance,Non-labor Expense,2007,17.3
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",11,11,1/1/2007,Claims,Non-labor Expense,2007,11
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",65.1,65.1,1/1/2007,Maintenance and Other Operating Contracts,Non-labor Expense,2007,65.1
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",16.8,16.8,1/1/2007,Professional Service Contracts,Non-labor Expense,2007,16.8
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",100,100,1/1/2007,Materials and Supplies,Non-labor Expense,2007,100
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",5.3,5.3,1/1/2007,Other Business Expenses,Non-labor Expense,2007,5.3
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",358.9,358.9,1/1/2007,Payroll,Labor Expense,2007,358.9
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",49.1,49.1,1/1/2007,Overtime,Labor Expense,2007,49.1
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",68.8,68.8,1/1/2007,Health and Welfare,Labor Expense,2007,68.8
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2007,OPEB Current Payment,Labor Expense,2007,0
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",40.6,40.6,1/1/2007,Pensions,Labor Expense,2007,40.6
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",72.1,72.1,1/1/2007,Other Fringe Benefits,Labor Expense,2007,72.1
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-40.8,-40.8,1/1/2007,Reimbursable Overhead,Labor Expense,2007,-40.8
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",61,61,1/1/2007,Electric Power,Non-labor Expense,2007,61
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",15.1,15.1,1/1/2007,Fuel,Non-labor Expense,2007,15.1
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",13.1,13.1,1/1/2007,Insurance,Non-labor Expense,2007,13.1
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",10.8,10.8,1/1/2007,Claims,Non-labor Expense,2007,10.8
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",80.6,80.6,1/1/2007,Maintenance and Other Operating Contracts,Non-labor Expense,2007,80.6
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",19.2,19.2,1/1/2007,Professional Service Contracts,Non-labor Expense,2007,19.2
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",75.7,75.7,1/1/2007,Materials and Supplies,Non-labor Expense,2007,75.7
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",11.9,11.9,1/1/2007,Other Business Expenses,Non-labor Expense,2007,11.9
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",114.94,114.94,1/1/2007,Payroll,Labor Expense,2007,114.94
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",12.439,12.439,1/1/2007,Overtime,Labor Expense,2007,12.439
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",14.584,14.584,1/1/2007,Health and Welfare,Labor Expense,2007,14.584
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",4.3,4.3,1/1/2007,OPEB Current Payment,Labor Expense,2007,4.3
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",15.851,15.851,1/1/2007,Pensions,Labor Expense,2007,15.851
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",3.947,3.947,1/1/2007,Other Fringe Benefits,Labor Expense,2007,3.947
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-31.401,-31.401,1/1/2007,Reimbursable Overhead,Labor Expense,2007,-31.401
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Electric Power,Non-labor Expense,2007,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Fuel,Non-labor Expense,2007,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",10.213,10.213,1/1/2007,Insurance,Non-labor Expense,2007,10.213
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Claims,Non-labor Expense,2007,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Paratransit Service Contracts,Non-labor Expense,2007,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",22.844,22.844,1/1/2007,Maintenance and Other Operating Contracts,Non-labor Expense,2007,22.844
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",46.174,46.174,1/1/2007,Professional Service Contracts,Non-labor Expense,2007,46.174
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",2.862,2.862,1/1/2007,Materials and Supplies,Non-labor Expense,2007,2.862
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",81.644,81.644,1/1/2007,Other Business Expenses,Non-labor Expense,2007,81.644
HQ,First Mutual Transportation Assurance Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",-48.043,-48.043,1/1/2007,Insurance,Non-labor Expense,2007,-48.043
HQ,First Mutual Transportation Assurance Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",48.548,48.548,1/1/2007,Claims,Non-labor Expense,2007,48.548
HQ,First Mutual Transportation Assurance Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",8.383,8.383,1/1/2007,Other Business Expenses,Non-labor Expense,2007,8.383
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",2628.7,2628.7,1/1/2007,Payroll,Labor Expense,2007,2628.7
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",265.6,265.6,1/1/2007,Overtime,Labor Expense,2007,265.6
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",404.3,404.3,1/1/2007,Health and Welfare,Labor Expense,2007,404.3
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",204.6,204.6,1/1/2007,OPEB Current Payment,Labor Expense,2007,204.6
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",595.7,595.7,1/1/2007,Pensions,Labor Expense,2007,595.7
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",241.5,241.5,1/1/2007,Other Fringe Benefits,Labor Expense,2007,241.5
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-168.6,-168.6,1/1/2007,Reimbursable Overhead,Labor Expense,2007,-168.6
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",160.6,160.6,1/1/2007,Electric Power,Non-labor Expense,2007,160.6
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",124.4,124.4,1/1/2007,Fuel,Non-labor Expense,2007,124.4
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",37.3,37.3,1/1/2007,Insurance,Non-labor Expense,2007,37.3
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",71.4,71.4,1/1/2007,Claims,Non-labor Expense,2007,71.4
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",233.2,233.2,1/1/2007,Paratransit Service Contracts,Non-labor Expense,2007,233.2
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",186.3,186.3,1/1/2007,Maintenance and Other Operating Contracts,Non-labor Expense,2007,186.3
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",80.5,80.5,1/1/2007,Professional Service Contracts,Non-labor Expense,2007,80.5
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",291.5,291.5,1/1/2007,Materials and Supplies,Non-labor Expense,2007,291.5
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",40.7,40.7,1/1/2007,Other Business Expenses,Non-labor Expense,2007,40.7
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",185.662,185.662,1/1/2007,Payroll,Labor Expense,2007,185.662
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",37.997,37.997,1/1/2007,Overtime,Labor Expense,2007,37.997
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",29.659,29.659,1/1/2007,Health and Welfare,Labor Expense,2007,29.659
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",10.725,10.725,1/1/2007,OPEB Current Payment,Labor Expense,2007,10.725
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",13.531,13.531,1/1/2007,Pensions,Labor Expense,2007,13.531
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",20.096,20.096,1/1/2007,Other Fringe Benefits,Labor Expense,2007,20.096
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2007,Reimbursable Overhead,Labor Expense,2007,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Electric Power,Non-labor Expense,2007,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",25.429,25.429,1/1/2007,Fuel,Non-labor Expense,2007,25.429
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",14.371,14.371,1/1/2007,Insurance,Non-labor Expense,2007,14.371
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",14.804,14.804,1/1/2007,Claims,Non-labor Expense,2007,14.804
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Paratransit Service Contracts,Non-labor Expense,2007,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",31.813,31.813,1/1/2007,Maintenance and Other Operating Contracts,Non-labor Expense,2007,31.813
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",3.656,3.656,1/1/2007,Professional Service Contracts,Non-labor Expense,2007,3.656
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",27.27,27.27,1/1/2007,Materials and Supplies,Non-labor Expense,2007,27.27
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",2.509,2.509,1/1/2007,Other Business Expenses,Non-labor Expense,2007,2.509
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",14.81,14.81,1/1/2007,Payroll,Labor Expense,2007,14.81
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",1.061,1.061,1/1/2007,Overtime,Labor Expense,2007,1.061
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",3.099,3.099,1/1/2007,Health and Welfare,Labor Expense,2007,3.099
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2007,OPEB Current Payment,Labor Expense,2007,0
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",3.604,3.604,1/1/2007,Pensions,Labor Expense,2007,3.604
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",1.302,1.302,1/1/2007,Other Fringe Benefits,Labor Expense,2007,1.302
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2007,Reimbursable Overhead,Labor Expense,2007,0
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",2.211,2.211,1/1/2007,Electric Power,Non-labor Expense,2007,2.211
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Fuel,Non-labor Expense,2007,0
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0.307,0.307,1/1/2007,Insurance,Non-labor Expense,2007,0.307
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",1.104,1.104,1/1/2007,Claims,Non-labor Expense,2007,1.104
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Paratransit Service Contracts,Non-labor Expense,2007,0
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",1.79,1.79,1/1/2007,Maintenance and Other Operating Contracts,Non-labor Expense,2007,1.79
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0.331,0.331,1/1/2007,Professional Service Contracts,Non-labor Expense,2007,0.331
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0.981,0.981,1/1/2007,Materials and Supplies,Non-labor Expense,2007,0.981
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0.001,0.001,1/1/2007,Other Business Expenses,Non-labor Expense,2007,0.001
MTA Bus,MTA Bus Company,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",8.809,8.809,1/1/2007,Total MTA Bus Debt Service,Debt Service,2007,8.809
LIRR,Long Island Rail Road,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",285.4070961,285.4070961,1/1/2007,Total CRR Debt Service,Debt Service,2007,285.4070961
Metro-North,Metro-North Railroad,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",185.8259039,185.8259039,1/1/2007,Total CRR Debt Service,Debt Service,2007,185.8259039
New York City Transit,New York City Transit,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",787.857,787.857,1/1/2007,Total NYCT Debt Service,Debt Service,2007,787.857
New York City Transit,Staten Island Railway,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",0,0,1/1/2007,Total SIRTOA Debt Service,Debt Service,2007,0
HQ,MTA Headquarters,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",2.898,2.898,1/1/2007,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2007,2.898
B&T,Bridges and Tunnels,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",143.833,143.833,1/1/2007,Total B&T Debt Service,Debt Service,2007,143.833
Other,Unassigned,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2007,Pensions Offset,Labor Expense,2007,0
Other,Unassigned,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",0,0,1/1/2007,BAB Subsidy,Debt Service,2007,0
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",121.26,121.26,1/1/2008,Payroll,Labor Expense,2008,121.26
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",25.946,25.946,1/1/2008,Overtime,Labor Expense,2008,25.946
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",18.665,18.665,1/1/2008,Health and Welfare,Labor Expense,2008,18.665
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",11.378,11.378,1/1/2008,OPEB Current Payment,Labor Expense,2008,11.378
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",20.028,20.028,1/1/2008,Pensions,Labor Expense,2008,20.028
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",16.858,16.858,1/1/2008,Other Fringe Benefits,Labor Expense,2008,16.858
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-6.83,-6.83,1/1/2008,Reimbursable Overhead,Labor Expense,2008,-6.83
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2008,Electric Power,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2008,Fuel,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",8.284,8.284,1/1/2008,Insurance,Non-labor Expense,2008,8.284
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2008,Claims,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2008,Paratransit Service Contracts,Non-labor Expense,2008,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",161.354,161.354,1/1/2008,Maintenance and Other Operating Contracts,Non-labor Expense,2008,161.354
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",14.207,14.207,1/1/2008,Professional Service Contracts,Non-labor Expense,2008,14.207
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",15.819,15.819,1/1/2008,Materials and Supplies,Non-labor Expense,2008,15.819
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",1.021,1.021,1/1/2008,Other Business Expenses,Non-labor Expense,2008,1.021
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",413.8,413.8,1/1/2008,Payroll,Labor Expense,2008,413.8
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",89.8,89.8,1/1/2008,Overtime,Labor Expense,2008,89.8
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",73.1,73.1,1/1/2008,Health and Welfare,Labor Expense,2008,73.1
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",47.1,47.1,1/1/2008,OPEB Current Payment,Labor Expense,2008,47.1
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",111.1,111.1,1/1/2008,Pensions,Labor Expense,2008,111.1
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",90.4,90.4,1/1/2008,Other Fringe Benefits,Labor Expense,2008,90.4
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-31.9,-31.9,1/1/2008,Reimbursable Overhead,Labor Expense,2008,-31.9
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",75,75,1/1/2008,Electric Power,Non-labor Expense,2008,75
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",23.1,23.1,1/1/2008,Fuel,Non-labor Expense,2008,23.1
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",15.8,15.8,1/1/2008,Insurance,Non-labor Expense,2008,15.8
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",11.6,11.6,1/1/2008,Claims,Non-labor Expense,2008,11.6
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",63.2,63.2,1/1/2008,Maintenance and Other Operating Contracts,Non-labor Expense,2008,63.2
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",21.4,21.4,1/1/2008,Professional Service Contracts,Non-labor Expense,2008,21.4
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",101.5,101.5,1/1/2008,Materials and Supplies,Non-labor Expense,2008,101.5
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",6.5,6.5,1/1/2008,Other Business Expenses,Non-labor Expense,2008,6.5
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",375.7,375.7,1/1/2008,Payroll,Labor Expense,2008,375.7
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",56,56,1/1/2008,Overtime,Labor Expense,2008,56
